Index,Date-Time,Production,SSI,SSIRPrime,SWR,SWRRPrime,
123,16/03/2021 10:00,1162.043,793.380,804.024,621.340,664.698,
124,16/03/2021 11:00,1658.636,905.168,917.311,870.358,931.093,
125,16/03/2021 12:00,1884.017,905.830,917.982,794.067,849.478,
126,16/03/2021 13:00,1348.055,953.173,965.961,628.792,672.670,
127,16/03/2021 14:00,1109.018,852.455,863.891,652.025,697.524,
128,16/03/2021 15:00,1054.737,707.117,716.603,412.075,440.830,
129,17/03/2021 8:00,956.815,486.199,492.722,499.800,534.677,
130,17/03/2021 9:00,1246.044,687.705,696.931,610.925,653.556,
131,17/03/2021 10:00,1886.178,911.199,923.423,840.510,899.162,
132,17/03/2021 11:00,2093.617,935.478,948.028,911.067,974.642,
133,17/03/2021 12:00,2184.491,1012.598,1026.183,954.367,1020.964,
134,17/03/2021 13:00,1994.869,935.852,948.407,912.675,976.363,
135,17/03/2021 14:00,1383.445,865.644,877.257,743.533,795.418,
136,17/03/2021 15:00,1397.659,708.624,718.130,493.992,528.463,
137,18/03/2021 8:00,995.210,489.724,496.294,527.933,564.773,
138,18/03/2021 9:00,1389.703,691.111,700.382,733.758,784.961,
139,18/03/2021 10:00,1893.131,921.708,934.073,875.010,936.069,
140,18/03/2021 11:00,2124.606,1000.292,1013.712,986.483,1055.322,
141,18/03/2021 12:00,2135.090,1033.740,1047.608,995.817,1065.306,
142,18/03/2021 13:00,2001.833,960.190,973.071,929.483,994.344,
143,18/03/2021 14:00,1748.074,868.158,879.805,788.833,843.879,
144,18/03/2021 15:00,1333.703,710.081,719.607,602.575,644.624,
145,19/03/2021 8:00,,421.554,427.209,22.825,24.418,
146,19/03/2021 9:00,585.093,597.559,605.576,186.883,199.924,
147,19/03/2021 10:00,1399.818,851.967,863.397,604.800,647.004,
148,19/03/2021 11:00,1788.989,941.297,953.925,906.358,969.605,
149,19/03/2021 12:00,2007.629,965.848,978.805,806.908,863.216,
150,19/03/2021 13:00,1999.418,907.938,920.119,891.025,953.202,
151,19/03/2021 14:00,435.270,858.360,869.875,262.883,281.228,
152,19/03/2021 15:00,,711.435,720.980,30.725,32.869,
153,20/03/2021 8:00,1160.265,496.847,503.512,553.167,591.767,
154,20/03/2021 9:00,1602.947,697.962,707.326,753.917,806.526,
155,20/03/2021 10:00,1868.126,927.886,940.334,881.000,942.477,
156,20/03/2021 11:00,2001.979,1006.059,1019.556,961.133,1028.203,
157,20/03/2021 12:00,2077.862,1038.736,1052.671,915.417,979.296,
158,20/03/2021 13:00,1964.506,959.593,972.466,831.400,889.416,
159,20/03/2021 14:00,1325.964,852.019,863.449,677.350,724.616,
160,20/03/2021 15:00,1220.445,712.798,722.361,587.308,628.292,
161,21/03/2021 8:00,866.984,500.340,507.052,218.983,234.264,
162,21/03/2021 9:00,1139.825,701.316,710.724,616.608,659.636,
163,21/03/2021 10:00,1722.215,930.177,942.655,791.300,846.518,
164,21/03/2021 11:00,2089.368,1008.914,1022.449,980.192,1048.591,
165,21/03/2021 12:00,2150.880,1041.230,1055.199,988.217,1057.176,
166,21/03/2021 13:00,2262.404,959.535,972.407,594.425,635.905,
167,21/03/2021 14:00,1516.760,653.633,662.402,50.175,53.676,
168,21/03/2021 15:00,715.293,626.177,634.577,67.725,72.451,
169,22/03/2021 8:00,952.076,503.819,510.579,365.158,390.640,
170,22/03/2021 9:00,771.190,700.683,710.083,689.158,737.249,
171,22/03/2021 10:00,572.152,451.335,457.390,443.040,473.956,
172,22/03/2021 11:00,836.420,380.031,385.129,118.292,126.546,
173,22/03/2021 12:00,666.670,358.277,363.084,173.133,185.215,
174,22/03/2021 13:00,1099.757,591.064,598.993,351.400,375.921,
175,22/03/2021 14:00,1384.859,610.812,619.006,402.558,430.649,
176,22/03/2021 15:00,985.504,547.709,555.057,265.075,283.572,
177,23/03/2021 8:00,406.429,507.282,514.088,450.058,481.464,
178,23/03/2021 9:00,1100.121,705.151,714.611,517.875,554.013,
179,23/03/2021 10:00,1844.870,936.443,949.006,698.620,747.371,
180,23/03/2021 11:00,1544.261,1014.036,1027.639,692.567,740.895,
181,23/03/2021 12:00,982.513,695.188,704.514,517.158,553.246,
182,23/03/2021 13:00,691.032,545.883,553.206,383.200,409.940,
183,23/03/2021 14:00,248.278,522.987,530.004,265.092,283.590,
